Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
16-Sep-2019,90.39,-1.58,-1.71%,91.20,90.01,91.28,"73,509,460","6,645,608,810.72","272,256,983,163.63"
13-Sep-2019,91.97,-0.21,-0.23%,92.10,91.76,92.31,"39,426,340","3,626,934,187.44","278,902,591,974.35"
12-Sep-2019,92.18,+1.03,+1.13%,91.88,91.71,92.68,"56,470,100","5,210,715,424.27","282,529,526,161.79"
11-Sep-2019,91.15,+0.12,+0.13%,90.61,90.45,91.67,"48,655,340","4,434,134,989.92","277,318,810,737.52"
10-Sep-2019,91.03,-0.54,-0.59%,91.14,90.27,91.29,"52,277,580","4,747,542,161.32","272,884,675,747.61"
09-Sep-2019,91.57,-0.11,-0.12%,92.05,91.23,92.50,"59,990,300","5,509,415,789.20","277,632,217,908.92"
06-Sep-2019,91.68,-0.36,-0.39%,91.91,91.32,92.03,"49,938,660","4,580,834,342.34","283,141,633,698.12"
05-Sep-2019,92.04,+2.01,+2.23%,91.10,90.78,92.10,"66,503,780","6,093,746,863.26","287,722,468,040.46"
04-Sep-2019,90.03,+0.54,+0.60%,90.25,89.81,90.38,"46,524,560","4,192,131,979.12","281,628,721,177.20"
03-Sep-2019,89.49,+0.68,+0.76%,88.50,88.40,90.04,"70,937,180","6,350,524,234.08","277,436,589,198.08"
30-Aug-2019,88.81,-0.51,-0.57%,89.87,88.23,89.99,"61,282,940","5,445,534,131.83","271,086,064,964.00"
29-Aug-2019,89.32,+1.11,+1.26%,89.15,88.86,89.93,"60,360,240","5,399,849,229.65","276,531,599,095.83"
28-Aug-2019,88.21,+0.12,+0.14%,87.75,87.20,88.39,"48,437,860","4,262,798,580.33","271,131,749,866.18"
27-Aug-2019,88.09,-0.35,-0.40%,88.79,87.33,88.97,"60,544,900","5,333,854,310.62","266,868,951,285.84"
26-Aug-2019,88.44,+0.96,+1.10%,88.35,87.18,88.50,"61,706,400","5,430,811,592.80","272,202,805,596.47"
23-Aug-2019,87.48,-2.80,-3.10%,89.65,87.26,90.24,"105,557,960","9,322,621,284.37","266,771,994,003.66"
