Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
01-Dec-2020,"1,795.36",+40.96,+2.33%,"1,766.66","1,763.03","1,821.72","1,868,134","3,351,803,181.89","118,114,948,112.87"
30-Nov-2020,"1,754.40",-32.62,-1.83%,"1,775.65","1,747.84","1,780.34","1,620,887","2,846,177,768.81","114,763,144,930.98"
27-Nov-2020,"1,787.02",+22.89,+1.30%,"1,764.54","1,764.54","1,797.01","739,507","1,319,174,696.27","117,609,322,699.79"
25-Nov-2020,"1,764.13",+0.23,+0.01%,"1,767.81","1,748.36","1,770.38","979,957","1,727,672,559.36","116,290,148,003.52"
24-Nov-2020,"1,763.90",+36.34,+2.10%,"1,727.50","1,720.73","1,766.48","1,400,306","2,451,665,952.69","114,562,475,444.16"
23-Nov-2020,"1,727.56",-8.82,-0.51%,"1,740.22","1,710.18","1,745.99","1,127,618","1,946,130,579.46","112,110,809,491.46"
20-Nov-2020,"1,736.38",-22.19,-1.26%,"1,762.00","1,735.00","1,768.36","1,385,322","2,422,433,110.33","114,056,940,070.92"
19-Nov-2020,"1,758.57",+17.93,+1.03%,"1,733.23","1,730.02","1,763.49","1,005,340","1,759,793,621.28","116,479,373,181.25"
18-Nov-2020,"1,740.64",-21.02,-1.19%,"1,756.64","1,738.57","1,765.00","1,005,377","1,758,516,004.17","114,719,579,559.97"
17-Nov-2020,"1,761.66",-12.37,-0.70%,"1,767.86","1,759.49","1,777.14","1,066,034","1,882,432,800.51","116,478,095,564.14"
16-Nov-2020,"1,774.03",+1.77,+0.10%,"1,764.14","1,761.33","1,794.34","1,273,393","2,262,237,438.84","118,360,528,364.65"
13-Nov-2020,"1,772.26",+29.44,+1.69%,"1,748.00","1,735.98","1,777.13","1,487,877","2,621,165,990.80","116,098,290,925.80"
12-Nov-2020,"1,742.82",-4.41,-0.25%,"1,742.00","1,737.97","1,764.98","1,324,363","2,313,535,815.42","113,477,124,935.00"
11-Nov-2020,"1,747.23",+9.51,+0.55%,"1,748.40","1,743.06","1,762.90","1,591,906","2,786,579,211.38","115,790,660,750.42"
10-Nov-2020,"1,737.72",-23.70,-1.35%,"1,729.77","1,716.12","1,759.38","2,151,058","3,737,177,738.32","113,004,081,539.04"
09-Nov-2020,"1,761.42",+1.69,+0.10%,"1,795.98","1,757.55","1,816.89","2,672,024","4,756,837,890.99","116,741,259,277.35"
