Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
11-Dec-2018,117.29,+1.10,+0.95%,116.90,116.68,118.19,"5,545,054","650,349,757.67","16,211,607,785.36"
10-Dec-2018,116.19,+0.37,+0.32%,116.40,114.46,116.62,"4,150,858","481,199,903.27","15,561,258,027.69"
07-Dec-2018,115.82,-1.02,-0.87%,116.37,115.38,116.98,"4,615,881","535,313,861.51","15,080,058,124.42"
06-Dec-2018,116.84,-0.96,-0.81%,116.31,114.10,117.38,"5,191,681","601,353,241.92","15,615,371,985.93"
04-Dec-2018,117.80,-1.18,-0.99%,119.37,117.45,120.61,"7,018,210","833,728,404.93","16,216,725,227.85"
03-Dec-2018,118.98,-2.96,-2.43%,120.48,117.51,120.91,"6,112,959","725,000,121.15","17,050,453,632.78"
30-Nov-2018,121.94,+3.67,+3.10%,118.13,118.13,122.00,"8,051,115","972,354,142.24","17,775,453,753.92"
29-Nov-2018,118.27,-0.23,-0.19%,118.40,117.44,118.87,"2,878,675","340,667,343.61","16,803,099,611.69"
28-Nov-2018,118.50,+2.06,+1.77%,115.98,115.57,118.52,"3,989,365","469,453,621.17","17,143,766,955.30"
27-Nov-2018,116.44,+0.58,+0.50%,115.37,114.90,116.53,"2,884,749","334,593,804.08","16,674,313,334.13"
26-Nov-2018,115.86,+0.45,+0.39%,115.88,114.99,116.43,"2,972,459","344,193,290.56","16,339,719,530.05"
23-Nov-2018,115.41,+0.13,+0.11%,114.78,114.78,116.57,"1,444,727","167,117,864.66","15,995,526,239.49"
21-Nov-2018,115.28,-0.72,-0.62%,115.89,114.92,116.89,"3,245,054","375,102,043.65","15,828,408,374.83"
20-Nov-2018,116.00,-3.01,-2.53%,119.80,115.78,120.28,"5,088,238","596,239,663.91","16,203,510,418.48"
19-Nov-2018,119.01,+0.66,+0.56%,118.08,117.97,119.52,"4,673,935","555,991,111.99","16,799,750,082.39"
16-Nov-2018,118.35,+1.55,+1.33%,117.05,116.84,118.48,"4,484,333","529,050,561.85","16,243,758,970.40"
15-Nov-2018,116.80,+0.15,+0.13%,116.43,115.60,116.99,"4,045,746","471,094,721.08","15,714,708,408.55"
14-Nov-2018,116.65,-0.49,-0.42%,117.44,116.27,117.48,"4,423,812","516,807,231.72","15,243,613,687.47"
13-Nov-2018,117.14,+0.17,+0.15%,117.75,116.21,117.75,"3,609,927","422,405,131.36","15,760,420,919.19"
12-Nov-2018,116.97,-0.51,-0.43%,117.00,116.71,118.32,"4,781,899","561,729,197.82","15,338,015,787.83"
09-Nov-2018,117.48,+1.42,+1.22%,116.08,116.08,117.71,"5,026,306","588,510,957.90","15,899,744,985.65"
08-Nov-2018,116.06,+0.45,+0.39%,115.38,115.25,116.50,"2,925,092","338,873,273.65","15,311,234,027.74"
07-Nov-2018,115.61,+0.40,+0.35%,115.45,114.44,115.77,"4,219,594","487,137,951.83","14,972,360,754.10"
06-Nov-2018,115.21,+0.82,+0.72%,114.03,113.86,115.35,"3,913,449","448,900,744.79","14,485,222,802.27"
05-Nov-2018,114.39,+3.22,+2.90%,111.69,111.28,114.44,"5,270,360","600,587,805.76","14,036,322,057.48"
02-Nov-2018,111.17,-0.34,-0.30%,111.49,109.63,112.10,"6,705,770","743,221,977.59","13,435,734,251.71"
01-Nov-2018,111.51,-0.87,-0.77%,112.00,110.98,113.14,"5,736,715","641,344,375.94","14,178,956,229.30"
31-Oct-2018,112.38,-1.39,-1.22%,113.49,111.19,113.49,"6,449,473","725,339,729.78","14,820,300,605.24"
30-Oct-2018,113.77,+0.88,+0.78%,113.75,112.60,114.23,"4,900,399","555,867,973.80","15,545,640,335.02"
29-Oct-2018,112.89,+2.44,+2.21%,111.29,111.14,113.31,"5,705,997","642,886,668.74","14,989,772,361.22"
26-Oct-2018,110.45,-2.40,-2.13%,111.62,109.69,112.06,"5,872,775","649,725,808.12","14,346,885,692.48"
25-Oct-2018,112.85,-0.11,-0.10%,112.96,111.42,113.27,"6,712,939","755,680,210.33","14,996,611,500.60"
24-Oct-2018,112.96,+2.83,+2.57%,110.20,109.95,114.16,"8,222,879","928,771,839.80","15,752,291,710.92"
23-Oct-2018,110.13,+0.73,+0.67%,108.93,108.32,110.53,"4,484,123","490,605,828.80","14,823,519,871.12"
22-Oct-2018,109.40,-0.89,-0.81%,110.09,109.24,110.89,"5,477,714","601,079,251.64","14,332,914,042.32"
19-Oct-2018,110.29,+2.36,+2.19%,108.59,108.49,110.60,"5,109,005","561,850,359.48","14,933,993,293.96"
18-Oct-2018,107.93,-0.38,-0.35%,108.48,107.55,109.35,"4,094,033","442,939,198.53","14,372,142,934.47"
17-Oct-2018,108.31,+0.92,+0.86%,107.21,107.19,108.78,"4,495,857","486,246,672.86","14,815,082,133.00"
16-Oct-2018,107.39,+1.76,+1.67%,106.31,105.84,107.69,"4,061,579","435,223,179.95","14,328,835,460.14"
15-Oct-2018,105.63,+0.35,+0.33%,105.20,105.17,106.65,"3,805,689","403,012,623.13","13,893,612,280.19"
12-Oct-2018,105.28,+0.22,+0.21%,105.30,104.53,105.76,"4,543,011","477,706,798.58","13,490,599,657.05"
11-Oct-2018,105.06,-2.28,-2.12%,108.21,104.90,108.48,"5,755,112","610,267,457.86","13,012,892,858.47"
10-Oct-2018,107.34,-0.78,-0.72%,107.59,107.20,109.35,"5,796,166","626,412,212.37","13,623,160,316.33"
09-Oct-2018,108.12,-0.07,-0.06%,108.68,107.52,108.94,"4,105,678","444,692,136.53","14,249,572,528.70"
08-Oct-2018,108.19,+1.70,+1.60%,106.36,106.31,108.34,"3,994,129","431,167,084.82","14,694,264,665.23"
05-Oct-2018,106.49,-0.12,-0.11%,106.25,105.98,107.01,"3,438,074","365,875,469.26","14,263,097,580.40"
04-Oct-2018,106.61,-0.91,-0.85%,106.85,105.80,107.40,"4,930,274","524,766,818.45","14,628,973,049.67"
03-Oct-2018,107.52,-1.20,-1.10%,109.21,107.17,109.71,"6,107,483","660,829,918.35","15,153,739,868.11"
02-Oct-2018,108.72,-1.99,-1.80%,110.45,107.70,111.11,"6,702,152","730,486,079.66","15,814,569,786.46"
01-Oct-2018,110.71,-1.09,-0.97%,112.15,110.67,112.48,"5,064,669","563,105,946.05","16,545,055,866.12"
28-Sep-2018,111.80,+0.75,+0.68%,111.54,110.91,112.05,"5,945,256","662,919,702.99","17,108,161,812.18"
27-Sep-2018,111.05,-0.45,-0.40%,111.43,110.91,112.40,"3,841,618","428,103,875.05","16,445,242,109.18"
26-Sep-2018,111.50,-0.47,-0.42%,112.27,111.31,112.86,"4,053,521","453,678,247.49","16,873,345,984.24"
25-Sep-2018,111.97,-0.30,-0.27%,112.64,111.76,112.75,"3,538,656","396,765,881.73","17,327,024,231.73"
24-Sep-2018,112.27,-2.64,-2.30%,114.10,112.20,114.72,"3,387,617","381,500,565.96","17,723,790,113.46"
21-Sep-2018,114.91,-0.31,-0.27%,115.26,114.84,115.52,"6,989,548","804,374,391.74","18,105,290,679.42"
20-Sep-2018,115.22,+1.45,+1.27%,114.23,114.11,115.51,"3,375,863","388,575,143.30","18,909,665,071.16"
19-Sep-2018,113.77,-0.21,-0.18%,113.95,113.46,114.24,"2,844,869","323,876,077.93","18,521,089,927.87"
18-Sep-2018,113.98,-1.42,-1.23%,115.48,113.69,115.48,"4,081,437","466,220,581.75","18,844,966,005.80"
17-Sep-2018,115.40,+0.83,+0.72%,114.60,114.22,115.45,"3,092,582","356,212,666.19","19,311,186,587.55"
14-Sep-2018,114.57,-0.42,-0.37%,114.89,113.72,114.89,"2,698,325","308,550,751.11","18,954,973,921.35"
13-Sep-2018,114.99,+1.14,+1.00%,114.49,113.69,115.01,"3,808,143","436,779,225.67","19,263,524,672.47"
12-Sep-2018,113.85,+0.52,+0.46%,113.31,113.04,114.23,"3,651,358","415,440,897.49","18,826,745,446.80"
11-Sep-2018,113.33,-0.24,-0.21%,111.85,111.85,113.75,"2,807,253","318,378,543.32","18,411,304,549.31"
10-Sep-2018,113.57,+0.83,+0.74%,112.92,112.70,113.99,"3,289,725","373,759,716.98","18,729,683,092.62"
07-Sep-2018,112.74,-0.76,-0.67%,112.85,111.51,113.50,"3,834,064","431,950,810.84","18,355,923,375.65"
06-Sep-2018,113.50,+0.38,+0.34%,112.00,111.44,113.53,"4,808,260","541,212,393.96","18,787,874,186.49"
05-Sep-2018,113.12,+2.12,+1.91%,110.76,110.70,113.17,"4,392,105","494,360,075.26","18,246,661,792.53"
04-Sep-2018,111.00,-1.01,-0.90%,111.82,110.45,112.09,"4,576,572","509,235,766.60","17,752,301,717.27"
31-Aug-2018,112.01,+0.05,+0.04%,111.77,111.26,112.58,"4,248,805","475,388,962.98","18,261,537,483.88"
30-Aug-2018,111.96,-0.09,-0.08%,111.87,111.55,112.23,"2,119,073","237,096,789.75","17,786,148,520.89"
29-Aug-2018,112.05,+0.88,+0.79%,111.30,111.22,112.12,"2,403,189","268,805,349.89","18,023,245,310.64"
28-Aug-2018,111.17,-1.24,-1.10%,112.22,110.89,112.45,"5,229,403","582,824,547.90","17,754,439,960.75"
27-Aug-2018,112.41,+0.26,+0.23%,112.58,111.83,112.77,"3,155,717","354,360,416.17","18,337,264,508.65"
24-Aug-2018,112.15,+0.22,+0.20%,111.87,111.80,112.53,"3,677,721","412,327,881.11","17,982,904,092.48"
23-Aug-2018,111.93,-0.31,-0.28%,112.17,111.51,112.23,"4,509,100","504,453,618.15","17,570,576,211.37"
22-Aug-2018,112.24,-1.48,-1.30%,113.70,111.96,113.82,"3,861,109","434,382,301.72","18,075,029,829.51"
21-Aug-2018,113.72,-1.12,-0.98%,115.25,113.65,115.25,"4,667,719","531,854,057.41","18,509,412,131.24"
20-Aug-2018,114.84,-0.12,-0.10%,114.99,114.60,115.85,"3,676,022","422,854,226.23","19,041,266,188.65"
17-Aug-2018,114.96,+0.71,+0.62%,114.00,114.00,115.09,"3,391,709","389,248,148.41","19,464,120,414.88"
16-Aug-2018,114.25,+0.80,+0.71%,113.74,113.37,114.73,"4,504,643","513,910,049.93","19,074,872,266.47"
15-Aug-2018,113.45,+0.35,+0.31%,112.76,112.25,113.74,"6,513,277","738,173,480.74","18,560,962,216.54"
14-Aug-2018,113.10,+0.08,+0.07%,112.70,112.11,113.49,"3,836,737","433,170,734.36","17,822,788,735.80"
13-Aug-2018,113.02,+0.15,+0.13%,112.81,112.01,113.14,"3,170,097","357,287,773.31","17,389,618,001.44"
10-Aug-2018,112.87,-0.83,-0.73%,113.59,112.57,113.97,"3,711,872","419,783,008.55","17,032,330,228.13"
09-Aug-2018,113.70,+0.21,+0.19%,114.12,113.38,114.12,"4,115,379","468,062,558.59","17,452,113,236.68"
08-Aug-2018,113.49,-0.73,-0.64%,114.52,113.47,114.85,"5,173,261","589,103,688.14","16,984,050,678.09"
07-Aug-2018,114.22,-3.16,-2.69%,116.45,113.53,116.45,"6,919,565","790,293,572.33","17,573,154,366.22"
06-Aug-2018,117.38,+1.08,+0.93%,117.25,116.90,118.44,"6,704,962","788,953,873.46","18,363,447,938.55"
03-Aug-2018,116.30,+1.61,+1.40%,114.77,114.37,116.70,"3,934,466","456,851,069.39","17,574,494,065.09"
02-Aug-2018,114.69,+1.08,+0.95%,113.60,113.09,114.93,"4,167,239","476,580,324.46","17,117,642,995.70"
01-Aug-2018,113.61,-1.39,-1.21%,114.42,113.23,114.53,"4,169,179","473,856,936.06","16,641,062,671.25"
