Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
08-Jan-2019,142.53,+4.48,+3.25%,139.89,139.54,143.14,"26,263,793","3,724,055,148.46","43,702,740,779.77"
07-Jan-2019,138.05,+0.10,+0.07%,137.56,135.91,138.87,"20,089,337","2,764,855,710.85","39,978,685,631.30"
04-Jan-2019,137.95,+6.21,+4.71%,134.01,133.75,138.00,"29,002,059","3,967,339,312.93","37,213,829,920.45"
03-Jan-2019,131.74,-3.94,-2.90%,134.69,131.12,137.17,"22,717,948","3,022,679,996.82","33,246,490,607.52"
02-Jan-2019,135.68,+4.59,+3.50%,128.99,128.56,137.51,"28,146,193","3,791,251,757.49","36,269,170,604.33"
31-Dec-2018,131.09,-2.11,-1.58%,134.45,129.95,134.64,"24,625,308","3,228,430,034.02","32,477,918,846.85"
28-Dec-2018,133.20,-1.32,-0.98%,135.34,132.20,135.92,"22,627,569","3,029,919,457.82","35,706,348,880.87"
27-Dec-2018,134.52,+0.34,+0.25%,132.44,129.67,134.99,"31,202,509","4,137,674,263.12","38,736,268,338.69"
26-Dec-2018,134.18,+10.12,+8.16%,126.00,125.89,134.24,"39,723,370","5,197,142,444.30","34,598,594,075.57"
24-Dec-2018,124.06,-0.89,-0.71%,123.10,123.02,129.74,"22,066,002","2,787,721,184.67","29,401,451,631.28"
21-Dec-2018,124.95,-8.45,-6.33%,133.39,123.42,134.90,"56,901,491","7,257,670,085.24","32,189,172,815.95"
20-Dec-2018,133.40,+0.16,+0.12%,130.70,130.00,135.57,"40,297,944","5,367,940,087.64","39,446,842,901.19"
19-Dec-2018,133.24,-10.42,-7.25%,141.21,132.50,144.91,"57,404,894","7,861,576,585.62","34,078,902,813.55"
18-Dec-2018,143.66,+3.47,+2.48%,141.08,139.83,145.93,"24,709,084","3,553,108,734.87","41,940,479,399.17"
17-Dec-2018,140.19,-3.87,-2.69%,143.08,138.42,144.92,"24,333,959","3,444,135,894.42","38,387,370,664.30"
14-Dec-2018,144.06,-0.95,-0.66%,143.34,142.51,146.01,"21,785,820","3,143,877,266.90","41,831,506,558.73"
13-Dec-2018,145.01,+0.51,+0.35%,145.57,143.19,145.85,"18,148,610","2,621,413,062.13","44,975,383,825.63"
12-Dec-2018,144.50,+2.42,+1.70%,143.08,142.51,147.19,"23,696,936","3,442,934,574.00","42,353,970,763.49"
11-Dec-2018,142.08,+0.23,+0.16%,143.88,141.10,143.88,"20,300,349","2,889,678,970.74","38,911,036,189.49"
10-Dec-2018,141.85,+4.43,+3.22%,139.60,139.01,143.05,"26,422,173","3,727,444,659.56","36,021,357,218.75"
07-Dec-2018,137.42,-2.21,-1.58%,139.25,136.66,140.87,"21,195,460","2,932,254,252.58","32,293,912,559.19"
06-Dec-2018,139.63,+1.70,+1.23%,133.82,133.67,139.70,"28,218,145","3,868,316,530.68","35,226,166,811.76"
04-Dec-2018,137.93,-3.16,-2.24%,140.73,137.16,143.39,"30,307,400","4,247,286,084.19","31,357,850,281.08"
03-Dec-2018,141.09,+0.48,+0.34%,143.00,140.76,143.68,"24,819,226","3,529,477,728.37","35,605,136,365.27"
30-Nov-2018,140.61,+1.93,+1.39%,138.26,137.36,140.97,"25,732,577","3,602,349,308.99","32,075,658,636.90"
29-Nov-2018,138.68,+1.92,+1.40%,135.92,135.66,139.99,"24,238,713","3,345,566,725.69","28,473,309,327.91"
28-Nov-2018,136.76,+1.76,+1.30%,136.28,131.85,136.79,"29,847,505","4,021,288,609.60","25,127,742,602.22"
27-Nov-2018,135.00,-1.38,-1.01%,135.75,133.71,136.61,"20,750,318","2,802,800,429.28","21,106,453,992.63"
26-Nov-2018,136.38,+4.65,+3.53%,133.00,132.78,137.00,"24,263,640","3,287,774,422.11","23,909,254,421.91"
23-Nov-2018,131.73,-3.09,-2.29%,133.65,131.26,134.50,"11,886,128","1,573,481,078.37","20,621,479,999.80"
21-Nov-2018,134.82,+2.39,+1.80%,134.40,134.13,137.19,"25,469,735","3,457,743,160.74","22,194,961,078.16"
20-Nov-2018,132.43,+0.88,+0.67%,127.03,126.85,134.16,"41,939,475","5,508,329,882.55","18,737,217,917.42"
19-Nov-2018,131.55,-7.98,-5.72%,137.61,131.21,137.75,"44,362,729","5,911,147,026.80","13,228,888,034.87"
16-Nov-2018,139.53,-4.32,-3.00%,141.07,137.77,141.77,"37,250,560","5,192,830,809.19","19,140,035,061.67"
15-Nov-2018,143.85,-0.37,-0.26%,142.33,140.83,144.84,"30,320,280","4,325,462,628.45","24,332,865,870.86"
14-Nov-2018,144.22,+2.06,+1.45%,143.70,141.55,145.58,"22,068,384","3,171,083,956.58","28,658,328,499.30"
13-Nov-2018,142.16,+0.61,+0.43%,142.00,141.62,144.88,"15,141,710","2,163,412,224.74","25,487,244,542.73"
12-Nov-2018,141.55,-3.41,-2.35%,144.48,140.49,145.04,"18,542,123","2,629,239,679.54","23,323,832,317.98"
09-Nov-2018,144.96,-2.91,-1.97%,146.75,144.07,147.76,"17,326,898","2,520,453,022.41","25,953,071,997.52"
08-Nov-2018,147.87,-3.66,-2.42%,150.49,146.74,150.94,"24,145,814","3,569,022,833.01","28,473,525,019.94"
07-Nov-2018,151.53,+1.59,+1.06%,151.57,149.83,153.01,"21,877,372","3,307,533,384.53","32,042,547,852.94"
06-Nov-2018,149.94,+1.26,+0.85%,149.31,148.00,150.97,"16,667,124","2,493,127,535.49","28,735,014,468.42"
05-Nov-2018,148.68,-1.67,-1.11%,150.10,147.44,150.19,"15,969,849","2,370,960,911.18","26,241,886,932.93"
02-Nov-2018,150.35,-1.40,-0.92%,151.80,148.96,154.13,"24,708,695","3,726,666,781.90","28,612,847,844.10"
01-Nov-2018,151.75,-0.04,-0.03%,151.52,149.35,152.75,"25,640,786","3,872,797,672.92","32,339,514,626.01"
31-Oct-2018,151.79,+5.57,+3.81%,155.00,148.96,156.40,"60,101,251","9,201,003,704.82","36,212,312,298.93"
30-Oct-2018,146.22,+4.13,+2.91%,139.94,139.74,146.64,"50,528,278","7,284,412,832.44","27,011,308,594.10"
29-Oct-2018,142.09,-3.28,-2.26%,148.50,139.03,148.83,"31,336,784","4,516,430,650.25","19,726,895,761.66"
26-Oct-2018,145.37,-5.58,-3.70%,145.82,143.80,149.00,"31,303,341","4,571,199,968.40","24,243,326,411.92"
25-Oct-2018,150.95,+4.91,+3.36%,147.73,147.00,152.21,"22,105,696","3,313,945,816.94","28,814,526,380.32"
24-Oct-2018,146.04,-8.35,-5.41%,154.28,145.60,154.65,"27,744,597","4,140,434,951.28","25,500,580,563.38"
23-Oct-2018,154.39,-0.39,-0.25%,151.22,150.85,154.77,"19,095,032","2,920,654,954.66","29,641,015,514.65"
22-Oct-2018,154.78,+0.73,+0.47%,154.76,154.46,157.34,"15,424,658","2,399,477,626.64","32,561,670,469.31"
19-Oct-2018,154.05,-0.87,-0.56%,155.86,153.55,157.35,"19,761,347","3,064,243,702.11","30,162,192,842.67"
18-Oct-2018,154.92,-4.50,-2.82%,158.51,153.28,158.66,"21,675,084","3,370,828,063.48","33,226,436,544.79"
17-Oct-2018,159.42,+0.64,+0.40%,159.56,157.95,160.49,"17,592,003","2,800,798,784.70","36,597,264,608.27"
16-Oct-2018,158.78,+5.26,+3.43%,155.40,155.01,159.46,"19,180,095","3,020,647,927.37","33,796,465,823.58"
15-Oct-2018,153.52,-0.22,-0.14%,153.32,152.55,155.57,"15,433,521","2,378,411,485.65","30,775,817,896.20"
12-Oct-2018,153.74,+0.39,+0.25%,156.73,151.30,156.89,"25,293,492","3,889,037,352.86","33,154,229,381.85"
11-Oct-2018,153.35,+1.97,+1.30%,150.13,149.16,154.81,"35,338,901","5,394,412,513.82","29,265,192,028.99"
10-Oct-2018,151.38,-6.52,-4.13%,156.82,151.31,157.69,"30,609,970","4,716,923,196.32","23,870,779,515.17"
09-Oct-2018,157.90,+0.65,+0.41%,157.69,157.42,160.59,"18,844,425","2,995,944,024.45","28,587,702,711.49"
08-Oct-2018,157.25,-0.08,-0.05%,155.54,154.39,158.34,"24,045,968","3,764,547,137.48","25,591,758,687.05"
05-Oct-2018,157.33,-1.52,-0.96%,159.21,156.20,160.90,"25,744,047","4,071,455,320.88","29,356,305,824.53"
04-Oct-2018,158.85,-3.58,-2.20%,161.46,157.35,161.46,"25,739,635","4,092,598,608.20","33,427,761,145.40"
03-Oct-2018,162.43,+3.10,+1.95%,160.00,159.53,163.66,"23,109,456","3,741,806,858.93","37,520,359,753.60"
02-Oct-2018,159.33,-3.11,-1.91%,161.58,158.67,162.28,"36,030,977","5,759,870,820.13","33,778,552,894.68"
01-Oct-2018,162.44,-2.02,-1.23%,163.03,161.26,165.88,"26,407,677","4,304,468,260.02","39,538,423,714.81"
28-Sep-2018,164.46,-4.38,-2.59%,168.33,162.56,168.79,"34,265,638","5,649,206,069.84","43,842,891,974.83"
27-Sep-2018,168.84,+1.89,+1.13%,167.55,167.21,171.77,"27,266,856","4,628,603,928.22","49,492,098,044.67"
26-Sep-2018,166.95,+2.04,+1.24%,164.30,164.21,169.30,"25,252,231","4,224,898,107.04","44,863,494,116.45"
25-Sep-2018,164.91,-0.50,-0.30%,161.99,161.15,165.59,"27,622,806","4,519,349,270.89","40,638,596,009.41"
24-Sep-2018,165.41,+2.48,+1.52%,161.03,160.88,165.70,"19,222,775","3,160,601,859.50","45,157,945,280.30"
21-Sep-2018,162.93,-3.09,-1.86%,166.64,162.81,167.25,"45,994,800","7,546,313,731.77","41,997,343,420.80"
20-Sep-2018,166.02,+2.96,+1.82%,164.50,164.47,166.45,"18,936,038","3,136,053,246.36","49,543,657,152.57"
19-Sep-2018,163.06,+2.76,+1.72%,160.08,159.48,163.44,"19,628,996","3,171,692,904.21","46,407,603,906.22"
18-Sep-2018,160.30,-0.28,-0.17%,159.39,158.87,161.76,"22,465,236","3,605,110,125.78","43,235,911,002.00"
17-Sep-2018,160.58,-1.74,-1.07%,161.92,159.77,162.06,"21,005,321","3,375,720,056.82","46,841,021,127.78"
14-Sep-2018,162.32,+0.96,+0.59%,161.72,160.34,162.84,"21,770,405","3,523,226,479.69","50,216,741,184.60"
13-Sep-2018,161.36,-0.64,-0.40%,162.00,160.86,163.32,"25,453,775","4,116,531,065.39","46,693,514,704.91"
12-Sep-2018,162.00,-3.94,-2.37%,163.25,161.80,164.49,"24,078,118","3,914,579,007.35","50,810,045,770.30"
11-Sep-2018,165.94,+1.76,+1.07%,163.94,163.72,167.19,"20,457,088","3,396,992,764.49","54,724,624,777.65"
10-Sep-2018,164.18,+1.14,+0.70%,163.51,162.16,165.01,"20,197,680","3,308,843,856.31","51,327,632,013.16"
07-Sep-2018,163.04,+0.51,+0.31%,160.31,160.16,164.63,"24,300,600","3,953,644,991.36","48,018,788,156.84"
06-Sep-2018,162.53,-4.65,-2.78%,166.98,160.00,166.98,"41,514,834","6,769,849,962.85","44,065,143,165.48"
05-Sep-2018,167.18,-3.98,-2.33%,169.49,166.67,171.13,"31,226,744","5,256,683,360.49","50,834,993,128.33"
