Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
24-Jun-2021,192.06,+1.48,+0.78%,192.28,190.88,194.20,"32,092,240","6,181,241,470.87","413,874,044,299.34"
23-Jun-2021,190.57,+1.70,+0.90%,190.08,189.08,191.53,"33,235,704","6,333,550,973.97","407,692,802,828.47"
22-Jun-2021,188.87,+4.60,+2.49%,184.72,183.86,189.64,"58,014,556","10,880,438,482.28","401,359,251,854.50"
21-Jun-2021,184.27,-2.11,-1.13%,184.35,178.23,185.37,"67,238,216","12,216,775,700.07","390,478,813,372.22"
18-Jun-2021,186.39,-0.19,-0.10%,187.84,185.84,193.75,"96,885,428","18,391,177,322.56","402,695,589,072.29"
17-Jun-2021,186.57,+8.47,+4.76%,177.75,177.56,188.35,"80,965,488","15,027,632,565.20","421,086,766,394.85"
16-Jun-2021,178.10,+0.22,+0.12%,177.91,175.84,179.55,"30,712,260","5,468,600,263.89","406,059,133,829.65"
15-Jun-2021,177.89,-2.30,-1.28%,179.15,177.28,180.16,"24,303,044","4,342,406,861.49","400,590,533,565.77"
14-Jun-2021,180.19,+1.94,+1.09%,179.06,176.63,180.40,"32,137,428","5,751,186,237.25","404,932,940,427.25"
11-Jun-2021,178.25,+4.00,+2.30%,174.80,174.44,179.39,"41,630,764","7,395,364,850.78","399,181,754,190.00"
10-Jun-2021,174.25,+0.67,+0.38%,173.50,171.76,174.92,"28,777,044","5,002,305,508.22","391,786,389,339.22"
09-Jun-2021,173.58,-0.99,-0.57%,175.16,172.56,175.75,"38,165,748","6,644,879,496.57","386,784,083,831.00"
08-Jun-2021,174.57,-1.62,-0.92%,175.27,172.51,176.22,"32,384,676","5,642,254,793.15","393,428,963,327.57"
07-Jun-2021,176.19,+0.41,+0.23%,175.71,171.93,178.13,"57,575,492","10,079,489,297.72","399,071,218,120.72"
04-Jun-2021,175.78,+6.09,+3.59%,171.13,170.96,176.61,"61,712,028","10,806,497,290.73","388,991,728,823.00"
03-Jun-2021,169.70,+1.91,+1.14%,167.01,165.83,172.59,"58,000,680","9,847,552,049.70","378,185,231,532.27"
02-Jun-2021,167.78,+5.14,+3.16%,162.52,162.36,169.19,"59,416,756","9,914,933,079.77","368,337,679,482.57"
01-Jun-2021,162.65,+0.20,+0.12%,162.70,159.03,163.88,"47,280,300","7,640,147,884.49","358,422,746,402.80"
28-May-2021,162.45,+7.57,+4.88%,155.01,155.01,162.77,"64,453,560","10,363,912,286.20","350,782,598,518.31"
27-May-2021,154.88,-2.12,-1.35%,157.00,154.60,157.50,"58,147,520","9,053,969,775.57","340,418,686,232.11"
26-May-2021,157.00,+0.52,+0.33%,157.34,155.86,157.94,"37,043,864","5,802,950,251.66","349,472,656,007.67"
25-May-2021,156.48,+0.36,+0.23%,157.66,154.83,158.18,"43,540,688","6,802,159,365.47","343,669,705,756.01"
24-May-2021,156.12,+6.20,+4.14%,152.13,151.76,157.45,"55,481,620","8,629,325,559.39","336,867,546,390.54"
21-May-2021,149.92,+3.79,+2.60%,151.64,148.69,152.22,"67,299,200","10,120,053,432.76","328,238,220,831.15"
